Activity,Opened,RID,St,Type,Sc,SIC,NAICS,Vio,Establishment Name,query,query_start,query_end
1452332.015,12/13/2019,524500,IL,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1459848.015,12/06/2019,1054191,OR,Complaint,Partial,5331.0,452990,1,317726279 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1448712.015,12/04/2019,854910,UT,Complaint,Partial,,452990,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1464549.015,11/26/2019,1054112,OR,Complaint,Partial,5331.0,452990,2,317726243 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1448428.015,11/26/2019,355114,VA,Referral,Partial,,452112,5,"Dollar Tree Stores, Inc. Store #6564",Dollar Tree,2012-12-19,2022-12-19
1447228.015,11/25/2019,355116,VA,Referral,Partial,,493110,2,"Dollar Tree, Inc.",Dollar Tree,2012-12-19,2022-12-19
1447417.015,11/25/2019,521400,IL,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1446800.015,11/21/2019,521400,IL,Complaint,Partial,,452990,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1446051.015,11/20/2019,1054113,OR,Complaint,Partial,5331.0,452990,3,317726189 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1445218.015,11/14/2019,728500,MO,Referral,Partial,,493110,1,Dollar Tree,Dollar Tree,2012-12-19,2022-12-19
1443653.015,11/08/2019,636900,TX,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1443300.015,11/07/2019,112300,RI,Complaint,Partial,,452990,1,"Dollar Tree Stores, Inc. - Store #4965",Dollar Tree,2012-12-19,2022-12-19
1443323.015,11/07/2019,214700,NY,Complaint,Partial,,453998,12,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1445436.015,11/06/2019,1054113,OR,Planned,Complete,5331.0,452990,1,317726075 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1442744.015,11/05/2019,355114,VA,Complaint,Partial,,452990,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1441668.015,10/31/2019,953210,NV,Complaint,Partial,,452990,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1439178.015,10/30/2019,552652,MI,Complaint,Partial,,452112,4,Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1440331.015,10/28/2019,728900,NE,Complaint,Partial,,452990,7,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1438186.015,10/16/2019,626600,TX,Complaint,Partial,,452112,5,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1438745.015,10/15/2019,454510,SC,Complaint,Partial,5311.0,452112,4,74243 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1436770.015,10/08/2019,316400,WV,Complaint,Partial,,452990,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1434100.015,09/27/2019,552700,MN,Complaint,Partial,,452990,2,100407 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1432991.015,09/27/2019,552652,MI,Complaint,Partial,,452990,3,Dollar Tree #05546,Dollar Tree,2012-12-19,2022-12-19
1434769.015,09/26/2019,1054115,OR,Complaint,Partial,5331.0,452990,6,317725645 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1433182.015,09/24/2019,521100,WI,Complaint,Partial,,452112,6,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1432347.015,09/20/2019,213100,NY,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1432609.015,09/20/2019,950624,CA,Complaint,Partial,,493110,3,"Dollar Tree Distribution, Inc",Dollar Tree,2012-12-19,2022-12-19
1429028.015,09/06/2019,728500,MO,Unprog Rel,Partial,,493110,1,Dollar Tree Distribution Center,Dollar Tree,2012-12-19,2022-12-19
1431460.015,09/05/2019,111400,MA,Complaint,Complete,,453998,5,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1428448.015,09/05/2019,317900,PA,Complaint,Partial,,452990,5,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1427959.015,09/04/2019,355112,VA,Complaint,Partial,,551114,2,"Dollar Tree Stores Inc., Store #1829",Dollar Tree,2012-12-19,2022-12-19
1426493.015,08/28/2019,729300,MO,Complaint,Partial,,453998,3,Dollar Tree Stores Inc.,Dollar Tree,2012-12-19,2022-12-19
1430005.015,08/22/2019,1054191,OR,Complaint,Partial,5331.0,452990,4,317725240 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1425738.015,08/16/2019,552700,MN,Complaint,Partial,,452990,2,100171 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1419168.015,07/30/2019,453730,NC,Complaint,Partial,5399.0,452990,1,"143076 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1419463.015,07/26/2019,950623,CA,Complaint,Partial,,453998,1,Dollar Tree Stores Inc.,Dollar Tree,2012-12-19,2022-12-19
1419355.015,07/25/2019,214200,NJ,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc",Dollar Tree,2012-12-19,2022-12-19
1414649.015,07/12/2019,112000,CT,Complaint,Partial,,452112,2,Dollar Tree Stores Inc.,Dollar Tree,2012-12-19,2022-12-19
1415268.015,07/09/2019,453710,NC,Complaint,Partial,5399.0,452990,2,"142830 - Dollar Tree Stores, Inc. - Store 155",Dollar Tree,2012-12-19,2022-12-19
1411428.015,06/26/2019,418300,AL,Complaint,Partial,,452990,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1408776.015,06/11/2019,950623,CA,Complaint,Partial,,453998,1,Dollar Tree #1219,Dollar Tree,2012-12-19,2022-12-19
1406066.015,06/06/2019,215600,NY,Complaint,Partial,,453998,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1405495.015,06/03/2019,1055330,WA,Referral,Partial,,452990,4,Wa317954735 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1402986.015,05/22/2019,950643,CA,Complaint,Partial,,452990,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1399905.015,05/10/2019,636900,TX,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1414139.015,05/09/2019,1054191,OR,Complaint,Partial,5331.0,452990,2,317724144 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1398424.015,05/03/2019,854910,UT,Referral,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1398141.015,05/01/2019,453730,NC,Complaint,Partial,5399.0,452990,2,"142067 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1396954.015,04/30/2019,953210,NV,Referral,Partial,,452990,1,"Dollar Tree Stores, Inc. #1224",Dollar Tree,2012-12-19,2022-12-19
1397146.015,04/30/2019,855610,WY,Complaint,Partial,,452990,1,"Dollar Tree Store, Inc.",Dollar Tree,2012-12-19,2022-12-19
1396112.015,04/24/2019,953220,NV,Complaint,Partial,,452990,1,"Dollar Tree Stores, Inc. Store #5304",Dollar Tree,2012-12-19,2022-12-19
1395047.015,04/22/2019,950615,CA,Complaint,Partial,,445110,3,Dollar Tree Stores Inc. (Store #4393),Dollar Tree,2012-12-19,2022-12-19
1393119.015,04/15/2019,418100,GA,Complaint,Partial,,452112,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1392698.015,04/11/2019,418800,FL,Complaint,Partial,,445120,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1392581.015,04/10/2019,1032500,ID,Complaint,Partial,,452990,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1391852.015,04/09/2019,1032500,ID,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1392229.015,04/08/2019,111400,MA,Referral,Partial,,452990,4,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1391524.015,04/05/2019,1032500,ID,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1391372.015,04/03/2019,1032500,ID,Complaint,Partial,,453998,2,Dollar Tree Stores Inc.,Dollar Tree,2012-12-19,2022-12-19
1389876.015,04/02/2019,215800,NY,Complaint,Partial,,452990,3,Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1389326.015,03/28/2019,355112,VA,Complaint,Partial,,453998,2,Dollar Tree Store #4976,Dollar Tree,2012-12-19,2022-12-19
1389880.015,03/28/2019,355112,VA,Complaint,Partial,,452990,2,Dollar Tree Store,Dollar Tree,2012-12-19,2022-12-19
1386120.015,03/18/2019,552700,MN,Complaint,Partial,,452990,2,99141 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1362039.015,03/13/2019,112000,CT,Planned,Complete,,493110,1,Dollar Tree Distribution Inc.,Dollar Tree,2012-12-19,2022-12-19
1379729.015,02/20/2019,950624,CA,Accident,Partial,,493110,2,"Dollar Tree Distribution, Inc",Dollar Tree,2012-12-19,2022-12-19
1378126.015,02/11/2019,953220,NV,Referral,Partial,,452112,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1374186.015,01/22/2019,950623,CA,Complaint,Partial,,453998,1,Dollar Tree Store#1521,Dollar Tree,2012-12-19,2022-12-19
1365813.015,12/12/2018,454714,TN,Complaint,Partial,,453998,3,Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1366312.015,12/11/2018,552700,MN,Complaint,Partial,,452990,1,98705 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1364477.015,12/07/2018,213100,NY,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1363963.015,12/05/2018,854910,UT,Complaint,Partial,,452112,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1364308.015,12/05/2018,454510,SC,Complaint,Partial,5331.0,452990,1,73817 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1365021.015,12/04/2018,1055330,WA,Complaint,Partial,,452990,1,Wa317952148 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1366266.015,11/30/2018,950643,CA,Complaint,Partial,,445110,6,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1361948.015,11/26/2018,1055330,WA,Complaint,Partial,,452990,1,Wa317952024 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1361935.015,11/26/2018,1055320,WA,Complaint,Partial,,452990,2,Wa317952028 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1359722.015,11/09/2018,1054111,OR,Referral,Partial,5331.0,452990,2,317722419 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
